Nest area,NDVI,Temperature,Rainfall,Health Index
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,1
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Lower,6091,24.48,1.79,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,6399,24.15,3.74,0
El Chato Middle,7989,25.93,0.0,1
El Chato Middle,7989,25.93,0.0,0
El Chato Middle,7989,25.93,0.0,0
El Chato Middle,7989,25.93,0.0,0
El Chato Middle,7989,25.93,0.0,0
El Chato Middle,7989,25.93,0.0,0
El Chato Middle,7989,25.93,0.0,0
El Chato Middle,7989,25.93,0.0,0
El Chato Middle,7989,25.93,0.0,0
El Chato Middle,7989,25.93,0.0,0
El Chato Middle,7989,25.93,0.0,0
El Chato Middle,7989,25.93,0.0,1
El Chato Middle,7989,25.93,0.0,1
El Chato Middle,7989,25.93,0.0,0
El Chato Middle,7989,25.93,0.0,1
El Chato Middle,7989,25.93,0.0,0
El Chato Middle,7989,25.93,0.0,1
El Chato Middle,7989,25.93,0.0,0
El Chato Middle,7989,25.93,0.0,1
El Chato Middle,7989,25.93,0.0,0
El Chato Middle,7989,25.93,0.0,1
El Chato Middle,7989,25.93,0.0,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,1
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Upper,8022,26.12,37.23,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,1
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,1
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,1
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,0
El Chato Lower,7410,25.71,6.8,1
El Chato Lower,7410,25.71,6.8,1
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,1
El Chato Middle,7622,27.05,15.81,1
El Chato Middle,7622,27.05,15.81,1
El Chato Middle,7622,27.05,15.81,1
El Chato Middle,7622,27.05,15.81,1
El Chato Middle,7622,27.05,15.81,1
El Chato Middle,7622,27.05,15.81,1
El Chato Middle,7622,27.05,15.81,1
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,1
El Chato Middle,7622,27.05,15.81,1
El Chato Middle,7622,27.05,15.81,1
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7622,27.05,15.81,0
El Chato Middle,7755,21.97,1.55,0
El Chato Middle,7755,21.97,1.55,0
El Chato Middle,7755,21.97,1.55,0
El Chato Middle,7755,21.97,1.55,0
El Chato Middle,7755,21.97,1.55,0
El Chato Lower,5360,25.8,2.9,0
El Chato Lower,5360,25.8,2.9,0
El Chato Lower,5360,25.8,2.9,0
El Chato Lower,5360,25.8,2.9,0
El Chato Lower,5360,25.8,2.9,0
El Chato Lower,5360,25.8,2.9,0
El Chato Lower,5360,25.8,2.9,0
El Chato Lower,5360,25.8,2.9,0
El Chato Lower,5360,25.8,2.9,0
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,5360,25.8,2.9,1
El Chato Lower,7579,24.97,6.53,1
El Chato Lower,7579,24.97,6.53,1
El Chato Lower,7579,24.97,6.53,1
El Chato Lower,7579,24.97,6.53,1
El Chato Lower,7579,24.97,6.53,1
El Chato Lower,7579,24.97,6.53,0
El Chato Lower,7579,24.97,6.53,1
El Chato Lower,7579,24.97,6.53,1
El Chato Lower,7579,24.97,6.53,1
El Chato Lower,7579,24.97,6.53,1
El Chato Lower,7579,24.97,6.53,1
El Chato Lower,7579,24.97,6.53,1
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,0
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Middle,5343,25.2,3.74,1
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,0
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8362,24.93,9.06,1
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,1
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,1
El Chato Upper,8133,26.31,14.08,1
El Chato Upper,8133,26.31,14.08,1
El Chato Upper,8133,26.31,14.08,1
El Chato Upper,8133,26.31,14.08,1
El Chato Upper,8133,26.31,14.08,1
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,1
El Chato Upper,8133,26.31,14.08,1
El Chato Upper,8133,26.31,14.08,1
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,1
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,1
El Chato Upper,8133,26.31,14.08,1
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,1
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,1
El Chato Upper,8133,26.31,14.08,0
El Chato Upper,8133,26.31,14.08,0
